book_id,tag_id,count
1,30574,167697
1,11305,37174
1,11557,34173
1,8717,12986
1,33114,12716
1,11743,9954
1,14017,7169
1,5207,6221
1,22743,4974
1,32989,4364
1,27199,3857
1,11590,3456
1,18886,3374
1,6953,2408
1,22753,1881
1,24960,1821
1,1691,1742
1,6857,1560
1,15965,1309
1,6888,1095
1,26785,1093
1,6828,1027
1,2104,1022
1,9221,987
1,20774,984
1,7457,958
1,25765,858
1,15169,853
1,3389,836
1,1128,828
1,6895,798
1,11505,792
1,17124,748
1,22034,744
1,11370,738
1,11497,730
1,19974,718
1,3392,701
1,22973,673
1,25234,659
1,20849,653
1,33009,612
1,29452,600
1,32623,552
1,10644,552
1,31617,547
1,5751,534
1,16427,532
1,5090,522
1,25152,505
1,29011,484
1,24964,474
1,20939,465
1,33012,464
1,14024,450
1,20824,449
1,22689,446
1,6960,445
1,18045,440
1,3371,433
1,33124,416
1,21989,410
1,615,399
1,26897,392
1,32654,386
1,11491,384
1,11550,368
1,25151,364
1,18851,354
1,16799,351
1,27535,348
1,17213,347
1,33165,338
1,26138,334
1,11574,324
1,30521,324
1,25150,314
1,30573,312
1,2106,305
1,6838,300
1,17129,297
1,10197,294
1,25770,294
1,8055,289
1,25167,284
1,1120,283
1,7852,281
1,26842,281
1,25153,279
1,10641,279
1,6920,276
1,11579,274
1,22352,273
1,20781,272
1,6914,268
1,5444,266
1,18913,265
1,11595,264
1,6829,263
1,24092,258
2,30574,24549
2,8717,3516
2,11305,3441
2,11557,3423
2,6857,1591
2,6888,1098
2,2104,981
2,9221,975
2,11743,972
2,33114,865
2,3389,851
2,5207,812
2,22034,764
2,17124,756
2,22743,744
2,11370,739
2,14017,734
2,11497,706
2,22973,688
2,20849,621
2,33009,617
2,29452,613
2,32623,566
2,31617,562
2,5751,525
2,16427,519
2,24964,492
2,29011,473
2,33012,464
2,6960,452
2,22689,449
2,32989,448
2,20939,447
2,14024,443
2,20824,438
2,18045,436
2,21989,428
2,3371,426
2,33124,401
2,32654,388
2,11491,380
2,26897,376
2,17213,371
2,11590,365
2,33165,362
2,11550,359
2,27535,344
2,16799,342
2,11574,335
2,25150,329
2,6838,319
2,17129,316
2,25153,309
2,22753,296
2,7852,296
2,26842,294
2,2106,289
2,6920,287
2,24960,278
2,10641,276
2,6914,269
2,6829,268
2,24092,261
2,11376,259
2,1120,256
2,18886,253
2,11595,248
2,14951,243
2,7404,242
2,609,240
2,18913,234
2,4834,232
2,14064,230
2,3379,225
2,1540,225
2,20547,217
2,26138,213
2,5776,213
2,25149,212
2,11340,211
2,26295,211
2,25147,209
2,25235,209
2,16805,207
2,11978,203
2,33121,203
2,25011,202
2,32996,201
2,5481,200
2,26771,199
2,11773,199
2,6976,195
2,3392,194
2,11643,194
2,11290,194
2,6949,193
2,5180,193
2,20125,193
2,33023,192
2,19983,189
3,30574,496107
3,11557,48220
3,11305,47478
3,8717,44640
3,33114,14984
3,11743,13239
3,14017,8559
3,5207,7917
3,22743,6066
3,22743,6065
3,32989,5276
3,27199,5140
3,11590,4769
3,18886,4302
3,6953,3828
3,24960,3163
3,6857,2571
3,1691,2430
3,22753,2350
3,7457,1898
3,6888,1771
3,6828,1639
3,25765,1563
3,19974,1558
3,15965,1475
3,2104,1453
3,26785,1380
3,6895,1284
3,17124,1245
3,20774,1227
3,3389,1143
3,11505,1095
3,9221,1082
3,22034,1082
3,1128,1049
3,3392,1032
3,15169,1025
3,25152,1011
3,11497,1006
3,22973,923
3,25234,906
3,11370,905
3,24964,820
3,20849,791
3,25151,786
3,5090,761
3,10644,743
3,33009,739
3,32623,725
3,6960,701
3,5751,693
3,29452,667
3,31617,664
3,20939,657
3,3371,627
3,11550,611
3,29011,608
3,20824,598
3,18045,594
3,25150,591
3,21989,576
3,16427,574
3,25153,571
3,33012,556
3,11491,556
3,22689,554
3,14024,541
3,16799,533
3,17213,528
3,6838,514
3,32654,505
3,25770,504
3,17129,498
3,26897,494
3,24963,491
3,25167,487
3,33124,480
3,33165,472
3,24999,462
3,6920,451
3,7404,450
3,11574,449
3,6914,416
3,10197,414
3,30573,404
3,6829,403
3,8055,397
3,12600,394
3,25149,389
3,27535,387
3,22352,387
3,2106,385
3,11595,378
3,30521,373
3,26842,369
3,24997,369
3,10641,359
3,5444,358
3,11579,357
3,20781,357
5,11557,40087
5,11305,39330
5,8717,17944
5,33114,12856
5,30574,11909
5,11743,10656
5,14017,7607
5,5207,6640
5,22743,5164
5,32989,4298
5,11590,4267
5,27199,4199
5,18886,3618
5,6953,2960
5,24960,2311
5,1691,1982
5,22753,1972
5,6857,1966
5,15965,1363
5,6888,1338
5,6828,1311
5,2104,1177
5,26785,1143
5,19974,1099
5,7457,1090
5,25765,1085
5,20774,1020
5,9221,988
5,3389,966
5,6895,961
5,11505,936
5,1128,932
5,17124,885
5,15169,848
5,22034,845
5,11497,831
5,3392,818
5,25234,789
5,11370,765
5,22973,720
5,25152,657
5,20849,652
5,33009,638
5,24964,620
5,10644,591
5,32623,589
5,31617,584
5,5751,575
5,5090,573
5,29452,566
5,16427,563
5,6960,554
5,25151,549
5,20939,526
5,29011,520
5,3371,496
5,27535,495
5,20824,493
5,18045,490
5,11491,486
5,30464,484
5,14024,483
5,22689,461
5,33012,449
5,21989,447
5,25150,439
5,16799,431
5,32654,423
5,26897,415
5,17213,403
5,33124,401
5,25153,399
5,11550,389
5,6838,388
5,11574,386
5,33165,384
5,25770,355
5,2106,349
5,17129,348
5,6920,331
5,6914,331
5,11579,329
5,25167,328
5,8055,324
5,10197,321
5,11595,321
5,30521,317
5,22352,313
5,6829,312
5,24999,310
5,30573,309
5,1120,305
5,26842,303
5,10641,303
5,25149,302
5,20781,299
5,32345,298
5,12600,282
5,3379,277
5,5444,273
6,11305,38378
6,33114,12979
6,11743,10249
6,14017,7472
6,22743,4977
6,32989,4383
6,27199,4007
6,11590,3597
6,6953,2656
6,24960,2065
6,22753,1904
6,1691,1892
6,6857,1716
6,15965,1343
6,6888,1227
6,26785,1130
6,2104,1090
6,7457,1032
6,20774,1010
6,25765,987
6,9221,984
6,3389,910
6,6895,879
6,1128,869
6,19974,868
6,15169,849
6,17124,837
6,11505,827
6,22034,826
6,3392,785
6,11370,749
6,25234,746
6,11497,727
6,22973,702
6,33009,645
6,20849,637
6,25152,616
6,9882,602
6,29452,581
6,24964,569
6,31617,568
6,32623,565
6,10644,557
6,5751,557
6,16427,555
6,5090,523
6,20939,493
6,29011,491
6,6960,489
6,14024,467
6,25151,465
6,3371,460
6,27535,456
6,33012,454
6,18045,452
6,20824,451
6,22689,445
6,21989,443
6,32654,400
6,33124,399
6,11491,396
6,26897,393
6,17213,387
6,11550,383
6,33165,383
6,16799,374
6,25150,361
6,6838,352
6,25153,344
6,25770,334
6,11574,327
6,17129,326
6,30521,322
6,10197,320
6,2106,312
6,30573,309
6,26842,307
6,8055,301
6,30574,298
6,7852,293
6,10641,293
6,6914,293
6,6920,292
6,6829,289
6,1120,285
6,22352,281
6,25167,277
6,20781,275
6,12600,274
6,24999,273
6,11579,272
6,11595,269
6,29190,266
6,24092,265
6,25149,263
6,7404,257
6,5444,256
6,11376,255
6,3379,250
6,26256,247
8,30574,2823
8,11557,144
8,11305,104
8,8717,71
8,14017,54
8,33114,34
8,11743,25
8,18886,23
8,22743,18
8,27199,16
8,32989,15
8,5207,14
8,15965,10
8,11590,8
8,29011,8
8,1691,7
8,6857,7
8,6895,7
8,6953,6
8,6828,6
8,27535,6
8,26785,5
8,7457,5
8,11505,5
8,22034,5
8,22973,5
8,32623,5
8,31617,5
8,30521,5
8,2104,4
8,9221,4
8,20774,4
8,29452,4
8,20939,4
8,32654,4
8,18680,4
8,5557,4
8,6888,3
8,15169,3
8,1128,3
8,19974,3
8,16427,3
8,20824,3
8,33165,3
8,18640,3
8,21928,3
8,22545,3
8,3687,3
8,9882,3
8,15048,3
8,14092,3
8,24960,2
8,33009,2
8,10644,2
8,5751,2
8,5090,2
8,14024,2
8,26897,2
8,11491,2
8,11574,2
8,25150,2
8,8055,2
8,1120,2
8,26842,2
8,14008,2
8,14064,2
8,11367,2
8,10731,2
8,2218,2
8,8067,2
8,30358,2
8,32586,2
8,7404,2
8,25506,2
8,26837,2
8,1540,2
8,32996,2
8,11988,2
8,23171,2
8,12680,2
8,14361,2
8,19983,2
8,20547,2
8,24164,2
8,982,2
8,6863,2
8,20828,2
8,32651,2
8,11482,2
8,20818,2
8,32221,2
8,5574,2
8,4375,2
8,4319,2
8,6833,2
8,18890,2
8,33121,1
8,23997,1
8,32803,1
8,15306,1
10,30574,3226
10,11557,330
10,11305,253
10,8717,127
10,11743,84
10,14017,79
10,33114,78
10,18886,33
10,32989,31
10,27199,25
10,6953,19
10,5207,18
10,1691,18
10,6857,18
10,27535,16
10,11590,13
10,22753,10
10,11370,10
10,24960,9
10,15965,9
10,7457,9
10,16427,9
10,20824,9
10,14029,9
10,22743,8
10,6888,8
10,2104,8
10,6895,8
10,32623,8
10,32654,8
10,11595,8
10,20774,7
10,11505,7
10,11497,7
10,26785,6
10,6828,6
10,17124,6
10,29452,6
10,10644,6
10,6838,6
10,11340,6
10,25011,6
10,18640,6
10,22973,5
10,11491,5
10,11574,5
10,1120,5
10,6920,5
10,18680,5
10,33125,5
10,14008,5
10,1128,4
10,22034,4
10,31617,4
10,14024,4
10,6960,4
10,21989,4
10,11550,4
10,16799,4
10,33165,4
10,27556,4
10,11314,4
10,21928,4
10,22545,4
10,12600,4
10,3687,4
10,33153,4
10,9882,4
10,15169,3
10,3389,3
10,3392,3
10,25234,3
10,33009,3
10,5751,3
10,5090,3
10,20939,3
10,33012,3
10,33124,3
10,30521,3
10,30573,3
10,2106,3
10,8055,3
10,6829,3
10,24092,3
10,14064,3
10,14764,3
10,11367,3
10,33116,3
10,23037,3
10,10731,3
